date,coin_symbol,coin_name,coin_rank,market_cap,total_volume,rolling_vol_30d,log_return
2023-01-29,doge,Dogecoin,9,12129625117.45415,874890207.8172691,0.0277680381282009,0.0073839452774051
2023-01-30,doge,Dogecoin,9,12456065692.086445,639918205.4350066,0.0265861133056809,0.026389711397976
2023-01-31,doge,Dogecoin,9,12117040176.651438,1105547968.2326896,0.0270003440976883,-0.0235271837881967
2023-02-01,doge,Dogecoin,9,13260998097.849464,2150296357.8793454,0.0307132571607216,0.0885394051890249
2023-02-02,doge,Dogecoin,9,13026308149.062317,1555755722.7291484,0.0312488268179078,-0.0217629538802408
2023-02-03,doge,Dogecoin,9,12612886676.809902,1050643813.8946322,0.0318754746618385,-0.0310867434917674
2023-02-04,doge,Dogecoin,9,12873643300.94727,746436869.40404,0.0314628901728663,0.01859336239003
2023-02-05,doge,Dogecoin,9,13238868373.89262,1480204574.1924782,0.031056534040135,0.0269637085648284
2023-02-06,doge,Dogecoin,9,12749259827.031525,1040228846.1948534,0.0321859033650025,-0.0370381028069313
2023-02-07,doge,Dogecoin,9,12372298654.416462,625954709.2277476,0.0327998772518573,-0.0282797780083212
2023-02-08,doge,Dogecoin,9,12794701927.631905,590091623.7311,0.033144190036734,0.0340005440702837
2023-02-09,doge,Dogecoin,9,12479856709.738825,545061811.9585679,0.033302653798231,-0.0260320915501965
2023-02-10,doge,Dogecoin,9,11275570526.590849,1042038184.0493978,0.0385494264310504,-0.1024323814186116
2023-02-11,doge,Dogecoin,9,11233854726.766487,678395607.5182058,0.0385400501829412,-0.0038501680702873
2023-02-12,doge,Dogecoin,9,11399795816.980667,320110939.4185049,0.0383590342316626,0.0146428360111481
2023-02-13,doge,Dogecoin,9,11361782229.018486,601012671.9687623,0.0372872641291298,-0.0041181642639802
2023-02-14,doge,Dogecoin,9,11384581665.262066,1026995108.85692,0.0365838917200855,0.0034136628361003
2023-02-15,doge,Dogecoin,9,11574352108.29937,546678835.7508724,0.0366279846399862,0.0162721562685383
2023-02-16,doge,Dogecoin,9,12313840261.662514,1141568616.2742417,0.0380152986647795,0.062827938892287
2023-02-17,doge,Dogecoin,9,11770970763.199057,1090286839.3508554,0.0389525694465931,-0.0450639217909776
2023-02-18,doge,Dogecoin,9,12132650426.076529,564836418.8191197,0.0387317646034817,0.0290088154671619
2023-02-19,doge,Dogecoin,9,12300072194.286,528974060.9664534,0.0386896981150684,0.0127190017580995
2023-02-20,doge,Dogecoin,9,12051531172.683537,640757357.1921849,0.0375926388669952,-0.0227682735521241
2023-02-21,doge,Dogecoin,9,12177007504.585363,561841993.1387864,0.0374669601494187,0.014151991008648
2023-02-22,doge,Dogecoin,9,11787321159.304222,640964751.7353162,0.0370458642899621,-0.0315417943440081
2023-02-23,doge,Dogecoin,9,11851834270.19472,1022368371.1573572,0.0370312583674327,0.0004543101376692
2023-02-24,doge,Dogecoin,9,11642613957.90566,460638466.8218064,0.0356417118681578,-0.0128370810046831
2023-02-25,doge,Dogecoin,9,11207403282.95199,536406520.5822174,0.0357642375568124,-0.0405131877726963
2023-02-26,doge,Dogecoin,9,11170741554.96617,420127974.3860036,0.0357624509449607,-0.0016982332777102
2023-02-27,doge,Dogecoin,9,11380915237.703709,333273163.5525551,0.0358930555015648,0.0173100768535547
2023-02-28,doge,Dogecoin,9,11268832305.146765,353862833.5813853,0.0358779103179053,-0.0101644813244661
