date,coin_symbol,coin_name,coin_rank,token_group,outcome_realized_vol_30d,driver_sec_event_indicator,control_market_cap,control_total_volume,control_btc_corr_30d
2020-03-21,eth,Ethereum,2,defi,0.12380273495649413,0,14451395504.502293,16267979993.668526,0.974408743544
2020-03-21,trx,TRON,8,defi,0.12061266562929442,0,743993095.2721789,1302567264.2679806,0.970709087507
2020-03-21,usdc,USDC,6,stablecoin,0.003372799485074564,0,646624347.2605398,877920224.0967498,-0.408899907906
2020-03-21,usdt,Tether,3,stablecoin,0.006946437948357179,0,4342066151.500842,65487737812.20043,0.44409970841
2020-03-21,xrp,XRP,4,defi,0.09372754043815434,0,6932408770.043524,2852880594.57501,0.970732783868
2020-03-22,bnb,BNB,5,centralized_exchange,0.12180717786664919,0,1818360426.988084,341768011.0348854,0.985222080771
2020-03-22,btc,Bitcoin,1,defi,0.09129287818901322,0,112349835902.32983,40189198131.46317,1
2020-03-22,doge,Dogecoin,9,defi,0.08510196451170818,0,220571686.0319456,133056132.79038008,0.967266753926
2020-03-22,eth,Ethereum,2,defi,0.12382761894089468,0,14575207631.098148,12633534610.010733,0.974211809301
2020-03-22,trx,TRON,8,defi,0.12062844476218054,0,740780374.4154996,1180943612.3020766,0.971137268256
2020-03-22,usdc,USDC,6,stablecoin,0.0034052777785159266,0,668188336.8126515,1015260283.4880075,-0.406789672283
2020-03-22,usdt,Tether,3,stablecoin,0.0070447444107404455,0,4274759423.202568,50189758583.7647,0.434701201923
2020-03-22,xrp,XRP,4,defi,0.09376049845847419,0,6893765822.423717,2026937931.3596127,0.971407718743
2020-03-23,bnb,BNB,5,centralized_exchange,0.12208996237920867,0,1688695769.9758637,282013365.28632444,0.985321733381
2020-03-23,btc,Bitcoin,1,defi,0.09138884249577912,0,107128564670.89128,37255748385.30394,1
2020-03-23,doge,Dogecoin,9,defi,0.08504952281159903,0,213918482.18504408,135249014.28128096,0.966703060927
2020-03-23,eth,Ethereum,2,defi,0.12380739839441741,0,13499834314.773165,10177508398.873247,0.974675029187
2020-03-23,trx,TRON,8,defi,0.12090868473652429,0,681383006.0442928,1058281960.8095264,0.971005594486
2020-03-23,usdc,USDC,6,stablecoin,0.0034042931441135536,0,669658760.7639562,616291307.9542409,-0.394704063815
2020-03-23,usdt,Tether,3,stablecoin,0.007038352534251931,0,4298879010.052839,45666848648.79093,0.436733112322
2020-03-23,xrp,XRP,4,defi,0.09373995081934412,0,6610426078.543431,1876934021.256626,0.971282368453
2020-03-24,bnb,BNB,5,centralized_exchange,0.12349326541505269,0,1829868580.832898,324459115.2472918,0.983301727554
2020-03-24,btc,Bitcoin,1,defi,0.09369331475508348,0,118046727572.5451,45578824447.64577,1
2020-03-24,doge,Dogecoin,9,defi,0.08579392088314709,0,224695676.9614716,140961242.04309145,0.964166041917
2020-03-24,eth,Ethereum,2,defi,0.1259603306444192,0,14944699607.313162,11596650460.730272,0.975101027355
2020-03-24,trx,TRON,8,defi,0.1227803915924435,0,746570343.9393891,1220999724.404406,0.971040020045
2020-03-24,usdc,USDC,6,stablecoin,0.0034445426984638324,0,670753143.6639024,673823849.0250514,-0.417457206808
2020-03-24,usdt,Tether,3,stablecoin,0.007070984516392421,0,4298542912.578629,53286026951.02652,0.445883364709
2020-03-24,xrp,XRP,4,defi,0.09449348508537078,0,6935124633.666894,2149427563.4819174,0.968287019233
2020-03-25,bnb,BNB,5,centralized_exchange,0.12328691800833921,0,1885028599.3923173,285530102.6883414,0.982720639815
2020-03-25,btc,Bitcoin,1,defi,0.09391067761786327,0,123064256188.85924,45846522059.373184,1
2020-03-25,doge,Dogecoin,9,defi,0.08586439226660066,0,231830875.29133603,153573605.50318238,0.964122066007
2020-03-25,eth,Ethereum,2,defi,0.12550958715590632,0,15385255695.77982,12119249137.978954,0.974504068356
2020-03-25,trx,TRON,8,defi,0.12203937734978111,0,761031110.5076672,1133808167.773738,0.969692774209
2020-03-25,usdc,USDC,6,stablecoin,0.0034033955808210102,0,689313852.0207161,675825355.3842313,-0.401653235399
2020-03-25,usdt,Tether,3,stablecoin,0.007087369007137682,0,4287070634.488864,53554483664.08859,0.434555423954
2020-03-25,xrp,XRP,4,defi,0.09445725276798063,0,7127137923.557504,2083687565.2443304,0.968147336374
2020-03-26,bnb,BNB,5,centralized_exchange,0.12326144563792686,0,1863775406.9928648,248158273.55825168,0.982717995777
2020-03-26,btc,Bitcoin,1,defi,0.09387711128215849,0,122445336599.19923,42082295491.03078,1
2020-03-26,doge,Dogecoin,9,defi,0.08579216870740558,0,227289691.50357187,137546598.60899478,0.963651851641
2020-03-26,eth,Ethereum,2,defi,0.1254909707109329,0,15020580578.564753,10616935307.838087,0.974527620973
2020-03-26,trx,TRON,8,defi,0.121780648803499,0,752575848.7314249,1070732044.8510884,0.970285853196
2020-03-26,usdc,USDC,6,stablecoin,0.0033293255546359883,0,688998447.5278789,652316538.5436517,-0.401344855868
2020-03-26,usdt,Tether,3,stablecoin,0.007087349889685261,0,4304355950.614791,47596191600.24538,0.436383214287
2020-03-26,xrp,XRP,4,defi,0.09440193720452421,0,7106446510.326314,2007027965.775484,0.968126128979
2020-03-27,bnb,BNB,5,centralized_exchange,0.12374668580132708,0,1991459536.455704,272095324.0621892,0.980329302835
2020-03-27,btc,Bitcoin,1,defi,0.09386992305628045,0,123732739823.4625,34840544710.10888,1
2020-03-27,doge,Dogecoin,9,defi,0.08568542768423328,0,230221150.19889328,129916986.9889954,0.963917161534
2020-03-27,eth,Ethereum,2,defi,0.12542248731678662,0,15277363230.972204,7749490793.658535,0.97464017729
2020-03-27,trx,TRON,8,defi,0.12230147696192356,0,790375114.2715569,1090122328.255694,0.968598405105
2020-03-27,usdc,USDC,6,stablecoin,0.0033278365744334013,0,686111344.1450291,775955790.2349017,-0.400168781744
2020-03-27,usdt,Tether,3,stablecoin,0.007078075258615733,0,4300196108.958909,39180907039.91991,0.43621286179
2020-03-27,xrp,XRP,4,defi,0.09541715372641725,0,7645994668.675096,2139429595.5853508,0.961148066335
2020-03-28,bnb,BNB,5,centralized_exchange,0.12342185387798564,0,1843089830.9325595,171866476.06557032,0.980263487944
